region,Union,SPD,Grüne,FDP,AfD,Linke
Baden-Württemberg,1767316,1247455,1058334,711697,561058,175691
Bayern,2788048,1316303,1023735,579804,634098,187530
Berlin,344838,417163,380581,129678,147134,260242
Brandenburg,283668,437753,120005,121094,279978,142628
Bremen,67992,108432,60490,22398,21565,25923
Hamburg,179572,334831,237328,84603,49828,72507
Hessen,909147,1000129,480535,315712,285337,130457
Mecklenburg-Vorpommern,180669,261408,62664,66328,169977,116033
Niedersachsen,1323070,1603785,646848,347802,292032,142785
Nordrhein-Westfalen,2973458,3068628,1500696,851337,705020,317869
Rheinland-Pfalz,686825,697183,247246,193360,205790,84143
Saarland,159323,208329,31091,46793,56236,30211
Sachsen,546282,410769,171384,220062,632881,282800
Sachsen-Anhalt,299363,293197,64326,96084,242065,127576
Schleswig-Holstein,465975,530301,315633,167191,113641,55523
Thüringen,264026,299024,68185,89008,298971,155618
